2023/11/05 19:50:06 [notice] 27476#20412: signal process started
2023/12/07 16:08:55 [error] 37844#37600: *45 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/info?t=1701961733195 HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/info?t=1701961733195", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:21:19 [error] 37844#37600: *1936 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:21:19 [error] 37844#37600: *1938 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:21:19 [error] 37844#37600: *1940 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/info?t=1701987677451 HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/info?t=1701987677451", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:21:58 [error] 37844#37600: *1936 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:21:58 [error] 37844#37600: *1938 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:21:58 [error] 37844#37600: *1940 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /realtime/info?t=1701987716612 HTTP/1.1", upstream: "http://127.0.0.1:8888/realtime/info?t=1701987716612", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:22:13 [error] 37844#37600: *1938 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/07 23:22:13 [error] 37844#37600: *1936 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
2023/12/08 11:02:09 [error] 37844#37600: *2049 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "OPTIONS /api/devices/measurements HTTP/1.1", upstream: "http://127.0.0.1:8080/api/devices/measurements", host: "localhost", referrer: "http://localhost:5173/"
